keyword_id,keyword
0,
1,2016 Elections
2,2020
3,Alabama
4,Anna Giaritelli
5,Australia
6,Auto Industry
7,Bankruptcy
8,Barack Obama
9,Becket Adams
10,Beltway Confidential
11,Ben Cardin
12,Benghazi
13,Benghazi Select Committee
14,Betsy DeVos
15,Big Government
16,Big Pharma
17,Bill Clinton
18,Blog Contributors
19,Books
20,Byron York
21,Campaigns
22,Campus Free Speech
23,Campus Speech Codes
24,Canada
25,Chris Christie
26,Chuck Schumer
27,Clinton Foundation
28,Cold War
29,College
30,Congress
31,Conservative News
32,Conservative Newspaper
33,Continuing Resolution
34,Donald Trump
35,Dream Act
36,Education
37,Energy and Environment
38,Ethanol
39,FDA
40,Fake News
41,Food and Drink
42,Foreign Policy
43,France
44,Fukushima
45,GAO
46,Gabby Morrongiello
47,Germany
48,Government Shutdown
49,Hamas
50,Health food products
51,Hillary Clinton
52,History
53,INF Treaty
54,ISIS
55,Immigration
56,Insurance Industry
57,Israel
58,Jason Russell
59,Jeff Sessions
60,Joel Gehrke
61,Journalists
62,Justice Department
63,Kelly Cohen
64,Kombucha
65,Law
66,Libya
67,Magazine
68,Malcolm Turnbull
69,Media
70,Middle East
71,Missouri
72,NBC
73,NDAA
74,Naomi Lim
75,National Defense Authorization Act
76,National Security
77,NaturalNews
78,New York Times
79,News
80,Nicolas Maduro
81,Nuclear Weapons
82,Opinion
83,Palestinian Authority
84,Palestinians
85,Paris
86,Permission marketing
87,Philadelphia
88,Philip Wegmann
89,Politics
90,Portugal
91,President
92,Red Alert Politics
93,Refugees
94,Rex Tillerson
95,Russia
96,Sarah Westwood
97,School Choice
98,School Vouchers
99,Senate
100,Senate Foreign Relations
101,Social Media
102,Socialism
103,South America
104,Spain
105,Spending
106,State Department
107,Super PACs
108,Supreme Court
109,Susan Ferrechio
110,Syria
111,TPP
112,Teachers
113,Teachers Unions
114,Terrorism
115,The Pentagon
116,Tom Rogan
117,Tom Tancredo
118,Trump
119,Twitter
120,United Kingdom
121,United Nations
122,United States
123,Venezuela
124,Vladimir Putin
125,Washington Examiner Staff
126,Watchdog
127,White House
128,addiction epidemic
129,africa
130,antonio sabato jr
131,apple cider vinegar
132,bacteria
133,barack obama
134,bill clinton
135,blamed
136,blog
137,books on trump
138,calls
139,chuck schumer
140,cruel
141,daca
142,daily beast
143,dairy
144,david letterman
145,department of justice
146,donald trump
147,drug
148,el salvador
149,fake news
150,food
151,foods
152,god and donald trump
153,golden globes
154,government shutdown
155,haiti
156,health
157,hillary clinton emails
158,investigation
159,irradiated milk
160,journalists
161,kombucha
162,lactose intolerance
163,mark levin
164,michael hayden
165,milk
166,myanmar
167,netflix
168,opioids
169,oprah winfrey
170,osteoporosis
171,prescription
172,president
173,president trump
174,probiotic
175,probiotics
176,protection
177,reasons
178,release
179,reuters
180,salvadorans
181,slams
182,sthole countries
183,tom perez
184,trump
185,vdare.com
186,vote trump
